qid,qtitle,qtags,assistid,pvnum,visitduration,logdate
0000016C2127B8C9000000246375706F795F72656C656173655155455354,Day88 f1-score of multi-class problem,"['ml100-2-d88', 'ml100-2']",ai_tw,1,35,2019-08-23
0000016C26CFA0130000003B6375706F795F72656C656173655155455354,DAY72 dReLU的問題,"['ml100-2-d72', 'ml100-2']",ai_tw,1,9,2019-08-23
0000016C2CB5AA750000004C6375706F795F72656C656173655155455354,D76投影片問題,"['ml100-2', 'ml100-2-d76']",ai_tw,1,28,2019-08-23
0000016C33AA6F56000000616375706F795F72656C656173655155455354,Day083 一直跑不出來,"['ml100-2-d83', 'ml100-2']",ai_tw,1,0,2019-08-23
0000016C3B3FF97F0000006F6375706F795F72656C656173655155455354,解讀Code?,"['ml100-2', 'ml100-2-d88']",ai_tw,1,51,2019-08-23
0000016C3E0CA0AF0000007B6375706F795F72656C656173655155455354,d66 安裝CUDA10.1有辦法改回9.0?,"['d66 cuda', 'ml100-2-d66', 'ml100-2']",ai_tw,1,0,2019-08-23
0000016C3E6091EF0000007F6375706F795F72656C656173655155455354,投影片跟題目都看不懂在寫什麼....?,[],ai_tw,1,66,2019-08-23
0000016C42D6B80B000000056375706F795F72656C656173655155455354,D22 請問如何判斷區分 樹狀模型與非樹狀模型，?,"['ml100-2', 'ml100-2-d22']",ai_tw,1,42,2019-08-23
0000016C437188400000000A6375706F795F72656C656173655155455354,Day093 Dense和Conv2D的差異是?,"['ml100-2', 'ml100-2-d68']",ai_tw,1,89,2019-08-23
0000016C45DAEFA0000000106375706F795F72656C656173655155455354,Day72啟動函數-什麼是無效的神經元,"['ml100-2-d72', 'ml100-2']",ai_tw,1,96,2019-08-23
0000016C48AAC1DA0000001F6375706F795F72656C656173655155455354,完賽證明,[],ai_tw,2,14,2019-08-23
0000016C4AF0ACDE000000246375706F795F72656C656173655155455354,非監督式學習降維目的,"['ml100-2', 'ml100-2-d54']",ai_tw,1,0,2019-08-23
0000016C4E174015000000356375706F795F72656C656173655155455354,Day 88 的 self.validation_data 的意義是什麼？,"['ml100-2-d88', 'ml100-2']",ai_tw,1,83,2019-08-23
0000016C5B9AB89B0000004B6375706F795F72656C656173655155455354,cifar_generator的labels,"['ml100-2', 'ml100-2-d98']",ai_tw,1,21,2019-08-23
0000016C67B9F9F8000000766375706F795F72656C656173655155455354,Day088,"['ml100-2', 'ml100-2-d88']",ai_tw,2,274,2019-08-23
0000016C67DC28220000007A6375706F795F72656C656173655155455354,model.add activation,[],ai_tw,1,31,2019-08-23
0000016C695AF93B0000007B6375706F795F72656C656173655155455354,D89,"['ml100-2', 'ml100-2-d89']",ai_tw,4,164,2019-08-23
0000016C6A10A45C0000007F6375706F795F72656C656173655155455354,關於cross validation score,['ml100-2'],ai_tw,2,58,2019-08-23
0000016C703495E4000000046375706F795F72656C656173655155455354,圖片餵給keras?,[],ai_tw,1,84,2019-08-23
0000016C7A5D02280000002D6375706F795F72656C656173655155455354,如何根據目標選擇機器學習模型？,['ml100-3'],ai_tw,4,237,2019-08-23
0000016C7C2AFBBE000000346375706F795F72656C656173655155455354,Day56 用silhouette score判斷分群的優點是?,"['ml100-2', 'ml100-2-d56']",ai_tw,1,0,2019-08-23
0000016C7ED9E8FA000000356375706F795F72656C656173655155455354,Day57 linkage='ward'具體是怎麼運算?,"['ml100-2', 'ml100-2-d57']",ai_tw,1,0,2019-08-23
0000016C8F567424000000856375706F795F72656C656173655155455354,答案說2比3分數高很多，可是silhouette score卻比較低?,"['ml100-2', 'ml100-2-d56']",ai_tw,1,49,2019-08-23
0000016C8F6F7A4B000000926375706F795F72656C656173655155455354,D97_將影像進行攤平,"['ml100-2-d97', 'ml100-2']",ai_tw,2,39,2019-08-23
0000016C910FBCBF0000009D6375706F795F72656C656173655155455354,D94  Convolution2D 超參數,"['ml100-2', 'ml100-2-d92', 'ml100-2-d93', 'ml100-2-d94']",ai_tw,1,0,2019-08-23
0000016C94D2A8FA000000046375706F795F72656C656173655155455354,期中考、期末考 可提供範例解答嗎?,"['期中考', '期末考', 'kaggle']",ai_tw,5,333,2019-08-23
0000016C98BC97EF000000116375706F795F72656C656173655155455354,"我想上載 ipynb file 去Jupyter notebook, 但有error?",[],ai_tw,2,39,2019-08-23
0000016C9E5C438B000000276375706F795F72656C656173655155455354,GitHub upload error,"['ml100-3', 'ml100-3-d02', 'github']",ai_tw,4,45,2019-08-23
0000016CA8818E20000000076375706F795F72656C656173655155455354,D89 抓不到bug...,"['ml100-2', 'ml100-2-d89']",ai_tw,2,519,2019-08-23
0000016CADFDA9C0000000246375706F795F72656C656173655155455354,D49 補缺值的方式?,"['ml100-2', 'ml100-2-d49']",ai_tw,1,16,2019-08-23
0000016CB01F6FC40000002D6375706F795F72656C656173655155455354,固定GPU結果,"['ml100-2', '固定gpu結果']",ai_tw,1,25,2019-08-23
0000016CB30A385E000000366375706F795F72656C656173655155455354,卷基層 全連接層?,[],ai_tw,7,693,2019-08-23
0000016CB345C1B90000003A6375706F795F72656C656173655155455354,DAY1:-作業範例MAE中實際值的算法,"['ml100-3', 'ml100-3-d01', 'mae', '作業']",ai_tw,11,432,2019-08-23
0000016CB4A6EEC6000000466375706F795F72656C656173655155455354,D49 如何判斷相異值不具有代表性?,"['ml100-2', 'ml100-2-d49']",ai_tw,1,29,2019-08-23
0000016CB66868020000004A6375706F795F72656C656173655155455354,MEA解釋,"['ml100-3', 'ml100-3-d01']",ai_tw,13,391,2019-08-23
0000016CB9E9E42A000000546375706F795F72656C656173655155455354,D055 bad initialization和ground truth疑問,"['ml100-2', 'ml100-2-d55']",ai_tw,10,1568,2019-08-23
0000016CBE02AFE1000000056375706F795F72656C656173655155455354,安裝完anaconda3完，無法順利打開Jupyter Notebook,['安裝'],ai_tw,4,11,2019-08-23
00000168452AFD8A000000506375706F795F72656C656173655155455354,請問df_temp['Ticket_Hash'] = df['Ticket'].map(lambda x:hash(x) % 10)這一行程式的意思是什麼?,"['ml100', '特徵雜湊', 'ml100-d24']",ai_tw,1,10,2019-08-24
0000016A2B7346C1000000AE6375706F795F72656C656173655155455354,請問...題目要去哪找？,"['ml100-2', 'faq', '題目']",ai_tw,1,22,2019-08-24
0000016A8DDE26D60000033A6375706F795F72656C656173655155455354,"HW 023 # 均值編碼寫法可以解釋一下嗎, 看起來很繞?","['均值編碼data', 'ml100-2', 'ml100-2-d23']",ai_tw,1,7,2019-08-24
0000016A9DA6E147000000346375706F795F72656C656173655155455354,Day 23,"['只取類別值', '對照組', 'ml100-2', 'ml100-2-d23']",ai_tw,1,7,2019-08-24
0000016A9F9CCE7A000000406375706F795F72656C656173655155455354,特徵工程前的資料處理,['ml100-2'],ai_tw,1,3,2019-08-24
0000016AA531C0FF000000A66375706F795F72656C656173655155455354,Day23_範例解答drop欄位,"['ml100-2', 'ml100-2-d23']",ai_tw,1,27,2019-08-24
0000016AB04E33E7000000166375706F795F72656C656173655155455354,day024:  Cabin=  None是否需要額外處理,"['ml100-2', 'ml100-2-d24']",ai_tw,1,3,2019-08-24
0000016AB42D8674000000386375706F795F72656C656173655155455354,特徵工程是否能對不同變數各別做適合的資料轉換?,"['ml100-2', '特徵工程']",ai_tw,1,3,2019-08-24
0000016AB71835DD000000896375706F795F72656C656173655155455354,HW23 ANS,"['ml100-2', 'ml100-2-d23']",ai_tw,1,11,2019-08-24
0000016ABA2AD1160000009A6375706F795F72656C656173655155455354,Day023請教做drop的時機點,"['ml100-2', 'ml100-2-d23']",ai_tw,2,219,2019-08-24
0000016AC15A2E7E000000F46375706F795F72656C656173655155455354,Day 30 31,"['ml100-2', 'ml100-2-d30', 'ml100-2-d31']",ai_tw,1,4,2019-08-24
0000016ACC474BB4000001566375706F795F72656C656173655155455354,Day29範例問題-重要性高低排序,"['ml100-2', 'ml100-2-d29']",ai_tw,1,4,2019-08-24
0000016ACDEEED890000015E6375706F795F72656C656173655155455354,Day29_HW,"['ml100-2', 'ml100-2-d29']",ai_tw,1,3,2019-08-24
0000016ACF301A6E000001696375706F795F72656C656173655155455354,"Day23 HW , 關於overfitting","['ml100-2', 'ml100-2-d23']",ai_tw,1,126,2019-08-24
0000016AD4802F3A000001A06375706F795F72656C656173655155455354,D17 非結構化資料的特徵工程,"['ml100-2', 'ml100-2-d17', '教材內容', '特徵工程']",ai_tw,1,7,2019-08-24
0000016AD5988C12000001AF6375706F795F72656C656173655155455354,Day_013_HW,"['ml100-2-d13', 'ml100-2']",ai_tw,1,5,2019-08-24
0000016ADE95F717000001E56375706F795F72656C656173655155455354,數值與數值組合，若只是將自變數加減一個常數有意義嗎,"['ml100-2', 'ml100-2-d26']",ai_tw,1,2,2019-08-24
0000016AE7F6DA200000022E6375706F795F72656C656173655155455354,特徵工程方法問題,['ml100-2'],ai_tw,1,2,2019-08-24
0000016AFA1E154A0000029D6375706F795F72656C656173655155455354,D23 中均值編碼的 model 如何作 預測?,"['ml100-2', 'ml100-2-d23']",ai_tw,2,135,2019-08-24
0000016AFCE30AE2000002A96375706F795F72656C656173655155455354,Day20範例-增加其他特徵離群捨棄造成準確度下降,"['ml100-2-d20', 'ml100-2']",ai_tw,1,3,2019-08-24
0000016B27F70C91000000066375706F795F72656C656173655155455354,等寬劃分(D12)後使用LinearRegression()做訓練是否可行?,"['ml100-2', 'ml100-2-d12', 'Linear Regression']",ai_tw,1,7,2019-08-24
0000016B3511D60A000000386375706F795F72656C656173655155455354,Day023 鐵達尼生存率經均值轉換cross val score分數為1是合理的嗎?,"['ml100-2', 'ml100-2-d23']",ai_tw,1,34,2019-08-24
0000016B41A295E2000000856375706F795F72656C656173655155455354,請問題中考考題的題意,"['ml100-2', 'ml100-2-d51']",ai_tw,1,34,2019-08-24
0000016B41B2A6D6000000876375706F795F72656C656173655155455354,D025 週期循環特徵問題,"['ml100-2', 'ml100-2-d25']",ai_tw,1,6,2019-08-24
0000016B4203CEA2000000916375706F795F72656C656173655155455354,檔案無法下載,"['ml100-2', 'ml100-2-d51']",ai_tw,1,143,2019-08-24
0000016B4F28E91C000000DC6375706F795F72656C656173655155455354,Day33-Overfitting的解釋,"['ml100-2', 'ml100-2-d33']",ai_tw,1,0,2019-08-24
0000016B5735FB7C000001056375706F795F72656C656173655155455354,期中問題,"['ml100-2-d51', '期中考']",ai_tw,1,46,2019-08-24
0000016B58C76730000001066375706F795F72656C656173655155455354,最低準確度 AUC 需⼤大於0.63?,"['ml100-2-d51', 'AUC']",ai_tw,1,59,2019-08-24
0000016B700ED3D6000001906375706F795F72656C656173655155455354,D56 輪廓分析(Silhouette analysis) 圖如何解讀? 實際價值何在？,"['ml100-2', 'ml100-2-d56']",ai_tw,1,0,2019-08-24
0000016B7A9236BE0000001B6375706F795F72656C656173655155455354,Day58 如何判斷2維均勻分布的分群效果?,"['ml100-2', 'ml100-2-d58']",ai_tw,1,10,2019-08-24
0000016B831C36D50000003B6375706F795F72656C656173655155455354,D55,"['ml100-2', 'ml100-2-d55']",ai_tw,1,40,2019-08-24
0000016BD9657DF3000000856375706F795F72656C656173655155455354,Day73 解答2 問題,"['ml100-2', 'gradient descent', 'ml100-2-d73']",ai_tw,1,82,2019-08-24
0000016BD97F27A9000000876375706F795F72656C656173655155455354,Day071 各 loss function 的區別,"[' keras', 'loss', 'binary_crossentropy', 'categorical_crossentropy', 'ml100-2-d71', 'ml100-2']",ai_tw,2,946,2019-08-24
0000016BDBFF4EFC000000946375706F795F72656C656173655155455354,D73投影片的幾個問題,"['ml100-2', 'ml100-2-d73']",ai_tw,1,130,2019-08-24
0000016BEE1AF6CF000000F86375706F795F72656C656173655155455354,Day75  直行橫列 還是 直列橫行 ?,"['ml100-2', 'ml100-2-d75']",ai_tw,1,65,2019-08-24
0000016BEE54C030000000FC6375706F795F72656C656173655155455354,Day77 shuffle問題?,"['ml100-2-d77', 'ml100-2']",ai_tw,2,116,2019-08-24
0000016BF101C52C000001126375706F795F72656C656173655155455354,Day 76 模型的預測準確率為什麼那麼低？,"['ml100-2', 'ml100-2-d76']",ai_tw,1,1191,2019-08-24
0000016BF117C536000001166375706F795F72656C656173655155455354,Day074 動量的練習,"['ml100-2-d74', 'ml100-2']",ai_tw,1,103,2019-08-24
0000016BFD6DBAAA000001436375706F795F72656C656173655155455354,Day077練習範例無法執行,"['ml100-2', 'ml100-2-d77']",ai_tw,1,1,2019-08-24
0000016C0A84F657000001746375706F795F72656C656173655155455354,Day 81 regulizer問題?,"['ml100-2-d81', 'ml100-2']",ai_tw,1,48,2019-08-24
0000016C1343AD8B000001A76375706F795F72656C656173655155455354,Day_076_Opimizer_example,"['ml100-2-d76', 'ml100-2']",ai_tw,1,36,2019-08-24
0000016C1F3DFE600000001D6375706F795F72656C656173655155455354,Day083教材提到BatchNormalization可以取代dropout和regularizes的問題?,"['ml100-2', 'ml100-2-d83']",ai_tw,1,56,2019-08-24
0000016C2CB5AA750000004C6375706F795F72656C656173655155455354,D76投影片問題,"['ml100-2', 'ml100-2-d76']",ai_tw,1,22,2019-08-24
0000016C3B3FF97F0000006F6375706F795F72656C656173655155455354,解讀Code?,"['ml100-2', 'ml100-2-d88']",ai_tw,1,253,2019-08-24
0000016C3E1987AF0000007D6375706F795F72656C656173655155455354,Batch Normalization在模型儲存後的testing問題,"['ml100-2', 'batch normalization', 'ml100-2-d83']",ai_tw,1,15,2019-08-24
0000016C43569D69000000096375706F795F72656C656173655155455354,Day71-正確的使用損失函數?,"['ml100-2-d71', 'ml100-2']",ai_tw,1,52,2019-08-24
0000016C45DAEFA0000000106375706F795F72656C656173655155455354,Day72啟動函數-什麼是無效的神經元,"['ml100-2-d72', 'ml100-2']",ai_tw,1,1695,2019-08-24
0000016C4AF0ACDE000000246375706F795F72656C656173655155455354,非監督式學習降維目的,"['ml100-2', 'ml100-2-d54']",ai_tw,1,47,2019-08-24
0000016C4E174015000000356375706F795F72656C656173655155455354,Day 88 的 self.validation_data 的意義是什麼？,"['ml100-2-d88', 'ml100-2']",ai_tw,1,23,2019-08-24
0000016C67B9F9F8000000766375706F795F72656C656173655155455354,Day088,"['ml100-2', 'ml100-2-d88']",ai_tw,1,6,2019-08-24
0000016C7A0E2DC4000000276375706F795F72656C656173655155455354,Day 55,"['ml100-2', 'ml100-2-d55']",ai_tw,1,18,2019-08-24
0000016C8F567424000000856375706F795F72656C656173655155455354,答案說2比3分數高很多，可是silhouette score卻比較低?,"['ml100-2', 'ml100-2-d56']",ai_tw,1,18,2019-08-24
0000016C910FBCBF0000009D6375706F795F72656C656173655155455354,D94  Convolution2D 超參數,"['ml100-2', 'ml100-2-d92', 'ml100-2-d93', 'ml100-2-d94']",ai_tw,1,37,2019-08-24
0000016C94D2A8FA000000046375706F795F72656C656173655155455354,期中考、期末考 可提供範例解答嗎?,"['期中考', '期末考', 'kaggle']",ai_tw,1,18,2019-08-24
0000016C98BC97EF000000116375706F795F72656C656173655155455354,"我想上載 ipynb file 去Jupyter notebook, 但有error?",[],ai_tw,1,315,2019-08-24
0000016C9E5C438B000000276375706F795F72656C656173655155455354,GitHub upload error,"['ml100-3', 'ml100-3-d02', 'github']",ai_tw,3,996,2019-08-24
0000016CB30A385E000000366375706F795F72656C656173655155455354,卷基層 全連接層?,[],ai_tw,2,13,2019-08-24
0000016CB345C1B90000003A6375706F795F72656C656173655155455354,DAY1:-作業範例MAE中實際值的算法,"['ml100-3', 'ml100-3-d01', 'mae', '作業']",ai_tw,14,1040,2019-08-24
0000016CB66868020000004A6375706F795F72656C656173655155455354,MEA解釋,"['ml100-3', 'ml100-3-d01']",ai_tw,10,642,2019-08-24
0000016CB9E9E42A000000546375706F795F72656C656173655155455354,D055 bad initialization和ground truth疑問,"['ml100-2', 'ml100-2-d55']",ai_tw,3,16,2019-08-24
0000016CBE02AFE1000000056375706F795F72656C656173655155455354,安裝完anaconda3完，無法順利打開Jupyter Notebook,['安裝'],ai_tw,3,16,2019-08-24
0000016A35BC37D3000002E06375706F795F72656C656173655155455354,D3問題,"['ml100-2', 'ml100-2-d03']",ai_tw,1,0,2019-08-25
0000016A38E8A3CC0000034E6375706F795F72656C656173655155455354,DAY1 python寫法,"['ml100-2', 'python', 'ml100-2-d01']",ai_tw,1,64,2019-08-25
0000016A3A1A40F2000003786375706F795F72656C656173655155455354,"個人主頁顯示已經有提交作業, 但排名上卻寫已作答0題","['ml100-2', 'faq']",ai_tw,1,12,2019-08-25
0000016A404F6F85000004996375706F795F72656C656173655155455354,詢問個人主頁Kaggle跟github連結,"['ml100-2', 'fqa', '個人主頁']",ai_tw,1,13,2019-08-25
0000016A466E15A5000005D06375706F795F72656C656173655155455354,day001-3作業,"['ml100-2', 'ml100-2-d01']",ai_tw,1,203,2019-08-25
0000016A9C77D2D30000000E6375706F795F72656C656173655155455354,D25範例 日週期 為何是 df['pickup_hour']/12,"['ml100-2', 'ml100-2-d25']",ai_tw,1,360,2019-08-25
0000016AA018748F000000516375706F795F72656C656173655155455354,詢問Day022問題,"['ml100-2', 'ml100-2-d22']",ai_tw,1,11,2019-08-25
0000016AA53996DD000000A96375706F795F72656C656173655155455354,Day22 講義問題,"['ml100-2', 'ml100-2-d22']",ai_tw,1,0,2019-08-25
0000016ACB967C4B0000014A6375706F795F72656C656173655155455354,Day22 範例,"['ml100-2', 'ml100-2-d22']",ai_tw,1,643,2019-08-25
0000016AE8B13C6E0000022F6375706F795F72656C656173655155455354,Day022 OneHotEncoder 作法,"['ml100-2-d22', 'ml100-2']",ai_tw,1,30,2019-08-25
0000016AECFECD6B000002466375706F795F72656C656173655155455354,Day034的兩個問題,"['ml100-2', 'ml100-2-d34']",ai_tw,2,24,2019-08-25
0000016AF96BEFCE000002966375706F795F72656C656173655155455354,day-38,"['ml100-2', 'ml100-2-d38']",ai_tw,1,33,2019-08-25
0000016AFA1E154A0000029D6375706F795F72656C656173655155455354,D23 中均值編碼的 model 如何作 預測?,"['ml100-2', 'ml100-2-d23']",ai_tw,1,29,2019-08-25
0000016B2D579A9D000000176375706F795F72656C656173655155455354,Day48 請問Kaggle的Public set跟Private set的差異是什麼?,"['day48', 'ml100-2-d48']",ai_tw,1,13,2019-08-25
0000016B3511D60A000000386375706F795F72656C656173655155455354,Day023 鐵達尼生存率經均值轉換cross val score分數為1是合理的嗎?,"['ml100-2', 'ml100-2-d23']",ai_tw,1,331,2019-08-25
0000016B3CC02425000000576375706F795F72656C656173655155455354,Day48,"['ml100-2', 'ml100-2-d48']",ai_tw,1,82,2019-08-25
0000016B41B2A6D6000000876375706F795F72656C656173655155455354,D025 週期循環特徵問題,"['ml100-2', 'ml100-2-d25']",ai_tw,1,37,2019-08-25
0000016B7DF179920000001E6375706F795F72656C656173655155455354,Day_049_Blending,"['ml100-2', 'ml100-2-d49', 'Blending']",ai_tw,1,22,2019-08-25
0000016B7FC3A16F0000002B6375706F795F72656C656173655155455354,D38 建立線性回歸模型方式和以往不同?,"['ml100-2', 'ml100-2-d38']",ai_tw,1,6,2019-08-25
0000016B82883BA1000000386375706F795F72656C656173655155455354,Day58 範例程式碼中的矩陣transformation,"['ml100-2', 'ml100-2-d58']",ai_tw,2,14,2019-08-25
0000016B8357AD130000003E6375706F795F72656C656173655155455354,Day58,"[' 生成', 'ml100-2', 'ml100-2-d58']",ai_tw,2,1203,2019-08-25
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",ai_tw,1,1369,2019-08-25
0000016B8A716DE10000006F6375706F795F72656C656173655155455354,D61_課堂練習_圖片解釋,"['ml100-2', 'ml100-2-d61']",ai_tw,1,458,2019-08-25
0000016B8C6E7AEF000000766375706F795F72656C656173655155455354,Day59_text3D問題,"['ml100-2', 'ml100-2-d59']",ai_tw,1,141,2019-08-25
0000016B9252A504000000A06375706F795F72656C656173655155455354,Day_061  tsn 和 資料視覺化部分,"['ml100-2', 'ml100-2-d61', '資料視覺化部分']",ai_tw,1,622,2019-08-25
0000016B9E808D27000000CB6375706F795F72656C656173655155455354,請問老師 plt.clf()  plt.cla(),"['ml100-2', 'ml100-2-d59']",ai_tw,1,23,2019-08-25
0000016BB1A6FC6B000001256375706F795F72656C656173655155455354,D59,"['ml100-2', 'ml100-2-d59']",ai_tw,1,38,2019-08-25
0000016BB1F081EA0000012B6375706F795F72656C656173655155455354,Day038 question,"['ml100-2', 'ml100-2-d38']",ai_tw,1,502,2019-08-25
0000016BBAAD829B000001556375706F795F72656C656173655155455354,資料過於龐大，無法讀進python or R 內?,"['ml100', '讀取資料']",ai_tw,1,0,2019-08-25
0000016BCA3537010000003E6375706F795F72656C656173655155455354,Day69 問題?,"['ml100-2', 'ml100-2-d69']",ai_tw,2,173,2019-08-25
0000016BCB719949000000476375706F795F72656C656173655155455354,Day67作業中於執行到plot_images_labels_prediction報錯,"['ml100-2', 'ml100-2-d67']",ai_tw,1,1362,2019-08-25
0000016BE17B6FAA000000B06375706F795F72656C656173655155455354,day-69,"['ml100-2', 'ml100-2-d69']",ai_tw,1,21,2019-08-25
0000016BEA8FF825000000E26375706F795F72656C656173655155455354,Day 76 程式碼中「第四步：資料分割」,"['ml100-2-d76', 'ml100-2']",ai_tw,1,53,2019-08-25
0000016BEE54C030000000FC6375706F795F72656C656173655155455354,Day77 shuffle問題?,"['ml100-2-d77', 'ml100-2']",ai_tw,1,0,2019-08-25
0000016BF0D1EE870000010D6375706F795F72656C656173655155455354,train_test_split中的random state,"['ml100-2-d34', 'ml100-2']",ai_tw,1,81,2019-08-25
0000016BF101C52C000001126375706F795F72656C656173655155455354,Day 76 模型的預測準確率為什麼那麼低？,"['ml100-2', 'ml100-2-d76']",ai_tw,1,42,2019-08-25
0000016BF324B26B000001176375706F795F72656C656173655155455354,參考資料連結無法開啟,[],ai_tw,1,30,2019-08-25
0000016BF3AEDB09000001186375706F795F72656C656173655155455354,python資料格式處理,[],ai_tw,1,41,2019-08-25
