assistid,mrscid,mrsname,newsid,newstitle,bucketgrpids,bucketids,influencerids,timestamp,logdate
ai_tw,BFF14983,蔡佩芬,68747470733A2F2F756E776972652E70726F2F323031392F30382F33302F6D6963726F736F66742D6D616A6F6E672D61692F61692F,Microsoft 研究麻雀 AI 系統 實力媲美頂尖人類選手 - UNWIRE.PRO,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['0000016140DF984F000000026375706F795F72656C65617365494E464C55'],1567324617328,2019-09-01
ai_tw,87C14282,Lauthka,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33312D37,助力上海人工智能高地建設，上海人工智能產業投資基金在滬簽約成立 | 機器之心,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['FinancialManagement_tw', 'management_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567299999156,2019-09-01
ai_tw,81A14971,王秉濓,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30382D33312D38,WAIC 2019 | 京東釋放AI價值，七大看點引領城市商業智能升級 | 機器之心,"['business_tw', 'tech_tw']","['e-commerce_tw', 'robot_tw']",['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567270387521,2019-09-01
ai_tw,C4714955,姚昱志,68747470733A2F2F7777772E7465636862616E672E636F6D2F706F7374732F37323439352D74736D632D616E642D64617461752D6172652D63686970732D746861742D636F6E7461696E2D6F6E652D7472696C6C696F6E2D7472616E736973746F72732D61626F75742D7468652D73697A652D6F662D612D6D6F7573652D7061643F66726F6D3D686F6D655F6E657773,臺積電與 Cerebras 聯手打造，這塊滑鼠墊大小的晶片，包含了「一兆個」電晶體！ | T客邦,['tech_tw'],['robot_tw'],['00000153074728ED0000000D6261636B656E645F6C6F63616C494E464C55'],1567340664937,2019-09-01
ai_tw,BFF14983,蔡佩芬,68747470733A2F2F7777772E6C656970686F6E652E636F6D2F6E6577732F3230313930382F494846755651306E6371534578366B742E68746D6C,百度超谷歌躍升全球第二，硬核語音技術成搶奪智能音箱“C位”的王牌 | 雷鋒網,['tech_tw'],['robot_tw'],['00000155B9E1BB0B0000001261646D696E5F70726572656C65617365494E464C55'],1567399782658,2019-09-02
ai_tw,CD414902,李佳磬,68747470733A2F2F7777772E696E736964652E636F6D2E74772F61727469636C652F31373433362D7363616D6D65722D7375636365737366756C6C792D6465657066616B65642D63656F732D766F6963652D746F2D666F6F6C,Deepfake 再添一例！駭客成功用 AI 假語音騙到 24 萬美元 - INSIDE,"['WhiteCollar_tw', 'business_tw', 'tech_tw']","['management_tw', 'robot_tw']",['000001522EC63532000000016261636B656E645F6C6F63616C494E464C55'],1567610911889,2019-09-04
ai_tw,A4315053,周昕褕,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30342D3135,結構化數據存儲，如何設計才能滿足需求？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567590943222,2019-09-04
ai_tw,A4315053,周昕褕,68747470733A2F2F7777772E67616D65626173652E636F6D2E74772F6E6577732F746F7069632F39393233303034312F3F75746D5F736F757263653D5253535F666565642675746D5F6D656469756D3D5253532675746D5F63616D706169676E3D5253535F4C494E4B,《棒球大王》推出2004年球員卡  籌組最佳黃金陣容！新增PVP AI系統  讓你比賽隨時開打！ :: 遊戲基地 gamebase,"['GamePlayer_tw', 'Game_tw', 'Sports_tw', 'tech_tw']","['Baseball_tw', 'GameInformation_tw', 'robot_tw']",['000001580A681AFE0000000F6375706F795F72656C65617365494E464C55'],1567673481090,2019-09-05
ai_tw,F3A14495,楊賢信,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30342D3135,結構化數據存儲，如何設計才能滿足需求？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567649486162,2019-09-05
ai_tw,0DF12114,屈佳宏,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30352D32,劉羣：基於深度學習的自然語言處理，邊界在哪裏？ | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567655722559,2019-09-05
ai_tw,47414380,范家浚,68747470733A2F2F7777772E6A6971697A686978696E2E636F6D2F61727469636C65732F323031392D30392D30352D36,RoBERTa中文預訓練模型，你離中文任務的「SOTA」只差個它 | 機器之心,['tech_tw'],['robot_tw'],['0000015EBC10BCDC000000016375706F795F72656C65617365494E464C55'],1567666162859,2019-09-05
