daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
28,4,4,49,2019-06-10
29,1,1,2,2019-06-10
3,67,67,636,2019-06-10
37,1,1,2,2019-06-10
4,45,44,456,2019-06-10
42,1,1,21,2019-06-10
48,1,1,3,2019-06-10
5,27,26,438,2019-06-10
50,1,1,1,2019-06-10
55,4,4,64,2019-06-10
6,15,15,187,2019-06-10
7,15,15,122,2019-06-10
8,3,3,12,2019-06-10
9,8,8,48,2019-06-10
0,447,927,6153,2019-06-11
1,65,65,437,2019-06-11
10,2,2,20,2019-06-11
108,1,1,1,2019-06-11
11,2,2,2,2019-06-11
12,3,3,8,2019-06-11
13,6,6,28,2019-06-11
14,2,2,24,2019-06-11
147,1,1,2,2019-06-11
15,3,3,3,2019-06-11
18,3,3,36,2019-06-11
19,2,2,3,2019-06-11
2,17,17,139,2019-06-11
20,1,1,1,2019-06-11
21,2,2,4,2019-06-11
22,1,1,1,2019-06-11
25,1,1,1,2019-06-11
26,1,1,3,2019-06-11
27,1,1,1,2019-06-11
3,18,18,171,2019-06-11
31,2,2,10,2019-06-11
39,1,1,6,2019-06-11
4,15,15,87,2019-06-11
41,1,1,9,2019-06-11
49,3,3,107,2019-06-11
5,14,14,154,2019-06-11
52,1,1,0,2019-06-11
59,1,1,57,2019-06-11
6,19,19,178,2019-06-11
60,1,1,0,2019-06-11
61,1,1,3,2019-06-11
7,11,11,45,2019-06-11
8,11,11,52,2019-06-11
87,1,1,2,2019-06-11
9,3,3,18,2019-06-11
0,406,768,5084,2019-06-12
1,96,96,596,2019-06-12
10,5,5,22,2019-06-12
104,1,1,29,2019-06-12
11,3,3,23,2019-06-12
119,1,1,4,2019-06-12
12,1,1,2,2019-06-12
13,3,3,13,2019-06-12
14,2,2,2,2019-06-12
15,1,1,3,2019-06-12
17,1,1,1,2019-06-12
19,1,1,19,2019-06-12
2,23,23,227,2019-06-12
20,1,1,2,2019-06-12
21,1,1,2,2019-06-12
22,2,2,9,2019-06-12
24,2,2,14,2019-06-12
27,1,1,2,2019-06-12
28,1,1,5,2019-06-12
3,10,10,24,2019-06-12
30,1,1,2,2019-06-12
34,1,1,2,2019-06-12
36,1,1,3,2019-06-12
4,7,7,21,2019-06-12
40,1,1,2,2019-06-12
45,1,1,67,2019-06-12
5,11,11,86,2019-06-12
58,1,1,5,2019-06-12
59,1,1,2,2019-06-12
6,6,6,51,2019-06-12
60,1,1,4,2019-06-12
7,8,8,46,2019-06-12
75,1,1,1,2019-06-12
8,3,3,23,2019-06-12
9,4,4,5,2019-06-12
0,377,729,4131,2019-06-13
1,112,112,593,2019-06-13
10,2,2,2,2019-06-13
12,3,3,4,2019-06-13
14,1,1,10,2019-06-13
15,3,3,14,2019-06-13
16,1,1,59,2019-06-13
17,1,1,9,2019-06-13
19,1,1,4,2019-06-13
2,45,45,196,2019-06-13
21,3,3,14,2019-06-13
22,1,1,1,2019-06-13
23,1,1,9,2019-06-13
24,2,2,13,2019-06-13
25,1,1,3,2019-06-13
26,1,1,7,2019-06-13
27,1,1,5,2019-06-13
28,3,3,11,2019-06-13
29,1,1,6,2019-06-13
3,17,17,82,2019-06-13
30,1,1,2,2019-06-13
32,2,2,4,2019-06-13
38,2,2,3,2019-06-13
4,11,11,183,2019-06-13
5,7,7,31,2019-06-13
6,4,4,9,2019-06-13
62,1,1,3,2019-06-13
63,2,2,5,2019-06-13
7,6,6,90,2019-06-13
8,5,5,30,2019-06-13
9,4,4,63,2019-06-13
0,329,607,3771,2019-06-14
1,85,85,445,2019-06-14
10,5,5,27,2019-06-14
11,4,4,101,2019-06-14
12,3,3,31,2019-06-14
13,1,1,1,2019-06-14
14,3,3,13,2019-06-14
16,2,2,10,2019-06-14
17,2,2,4,2019-06-14
2,31,31,153,2019-06-14
22,1,1,34,2019-06-14
28,1,1,1,2019-06-14
3,19,19,119,2019-06-14
34,1,1,0,2019-06-14
35,1,1,2,2019-06-14
4,9,9,82,2019-06-14
5,5,5,35,2019-06-14
52,1,1,21,2019-06-14
6,2,2,9,2019-06-14
60,1,1,4,2019-06-14
7,3,3,48,2019-06-14
8,1,1,2,2019-06-14
9,1,1,17,2019-06-14
0,285,592,3319,2019-06-15
1,93,93,406,2019-06-15
10,1,1,1,2019-06-15
11,2,2,3,2019-06-15
12,4,4,38,2019-06-15
13,5,5,32,2019-06-15
17,1,1,14,2019-06-15
18,1,1,2,2019-06-15
2,29,29,269,2019-06-15
22,2,2,4,2019-06-15
26,1,1,15,2019-06-15
27,1,1,1,2019-06-15
28,1,1,2,2019-06-15
3,12,12,71,2019-06-15
32,1,1,6,2019-06-15
34,1,1,11,2019-06-15
4,8,8,42,2019-06-15
5,11,11,56,2019-06-15
59,1,1,4,2019-06-15
6,4,4,44,2019-06-15
65,2,2,5,2019-06-15
7,4,4,27,2019-06-15
8,4,4,75,2019-06-15
9,1,1,11,2019-06-15
0,342,783,5123,2019-06-16
1,87,87,531,2019-06-16
10,1,1,9,2019-06-16
11,2,2,18,2019-06-16
12,2,2,10,2019-06-16
13,3,3,34,2019-06-16
15,1,1,1,2019-06-16
18,1,1,7,2019-06-16
19,1,1,13,2019-06-16
2,37,37,207,2019-06-16
20,1,1,2,2019-06-16
21,1,1,5,2019-06-16
22,1,1,2,2019-06-16
26,3,3,70,2019-06-16
27,1,1,35,2019-06-16
28,1,1,15,2019-06-16
3,24,24,109,2019-06-16
31,1,1,2,2019-06-16
4,15,15,94,2019-06-16
5,12,12,30,2019-06-16
56,1,1,93,2019-06-16
6,5,5,23,2019-06-16
64,1,1,10,2019-06-16
67,1,1,6,2019-06-16
7,5,5,21,2019-06-16
8,2,2,6,2019-06-16
0,401,724,4701,2019-06-17
1,68,68,519,2019-06-17
10,1,1,15,2019-06-17
11,2,2,11,2019-06-17
12,1,1,28,2019-06-17
13,4,4,15,2019-06-17
14,2,2,9,2019-06-17
16,2,2,81,2019-06-17
17,1,1,2,2019-06-17
18,1,1,14,2019-06-17
182,1,1,1,2019-06-17
19,2,2,3,2019-06-17
2,70,69,546,2019-06-17
24,2,2,8,2019-06-17
25,3,3,12,2019-06-17
26,2,2,15,2019-06-17
27,1,1,2,2019-06-17
28,1,1,0,2019-06-17
3,29,29,130,2019-06-17
30,2,2,21,2019-06-17
31,1,1,19,2019-06-17
36,1,1,1,2019-06-17
37,1,1,1,2019-06-17
4,22,22,93,2019-06-17
5,11,11,61,2019-06-17
52,1,1,3,2019-06-17
59,1,1,1,2019-06-17
6,16,16,84,2019-06-17
7,5,5,11,2019-06-17
8,1,1,1,2019-06-17
9,2,2,28,2019-06-17
0,360,660,4197,2019-06-18
1,87,87,558,2019-06-18
10,1,1,14,2019-06-18
11,2,2,4,2019-06-18
12,2,2,5,2019-06-18
13,2,2,2,2019-06-18
14,4,4,11,2019-06-18
15,2,2,9,2019-06-18
16,3,3,13,2019-06-18
17,1,1,2,2019-06-18
18,1,1,10,2019-06-18
19,1,1,19,2019-06-18
2,26,26,160,2019-06-18
20,1,1,7,2019-06-18
21,1,1,14,2019-06-18
22,1,1,14,2019-06-18
23,1,1,5,2019-06-18
24,1,1,1,2019-06-18
25,1,1,11,2019-06-18
27,3,3,3,2019-06-18
28,1,1,11,2019-06-18
3,18,18,157,2019-06-18
34,2,2,5,2019-06-18
35,1,1,1,2019-06-18
36,2,2,14,2019-06-18
4,13,13,106,2019-06-18
48,1,1,2,2019-06-18
5,14,14,103,2019-06-18
58,1,1,1,2019-06-18
6,4,4,18,2019-06-18
67,1,1,2,2019-06-18
7,9,9,149,2019-06-18
8,3,3,4,2019-06-18
0,305,496,3558,2019-06-19
1,82,82,554,2019-06-19
10,2,2,7,2019-06-19
102,1,1,1,2019-06-19
13,5,5,73,2019-06-19
15,1,1,6,2019-06-19
17,1,1,8,2019-06-19
2,25,25,187,2019-06-19
22,1,1,0,2019-06-19
25,1,1,21,2019-06-19
28,1,1,1,2019-06-19
3,11,11,62,2019-06-19
35,3,3,34,2019-06-19
4,11,11,77,2019-06-19
47,1,1,4,2019-06-19
5,6,6,37,2019-06-19
6,6,6,22,2019-06-19
63,1,1,20,2019-06-19
64,1,1,3,2019-06-19
7,4,4,10,2019-06-19
8,3,3,3,2019-06-19
9,1,1,1,2019-06-19
0,324,551,3299,2019-06-20
1,81,81,511,2019-06-20
11,3,3,55,2019-06-20
12,2,2,15,2019-06-20
13,2,2,7,2019-06-20
14,1,1,1,2019-06-20
2,34,34,386,2019-06-20
20,3,3,28,2019-06-20
24,1,1,2,2019-06-20
28,3,3,5,2019-06-20
3,19,19,194,2019-06-20
33,1,1,1,2019-06-20
34,1,1,1,2019-06-20
4,9,9,32,2019-06-20
5,5,5,12,2019-06-20
54,1,1,6,2019-06-20
6,6,6,84,2019-06-20
64,1,1,2,2019-06-20
69,1,1,2,2019-06-20
7,4,4,15,2019-06-20
8,3,3,46,2019-06-20
9,2,2,9,2019-06-20
0,258,442,2841,2019-06-21
1,68,68,417,2019-06-21
10,5,5,75,2019-06-21
11,1,1,6,2019-06-21
13,1,1,16,2019-06-21
14,1,1,6,2019-06-21
15,4,4,18,2019-06-21
16,1,1,48,2019-06-21
17,1,1,2,2019-06-21
19,1,1,1,2019-06-21
2,35,35,279,2019-06-21
22,1,1,4,2019-06-21
24,2,2,3,2019-06-21
3,24,24,187,2019-06-21
4,14,14,98,2019-06-21
5,6,6,83,2019-06-21
6,5,5,7,2019-06-21
62,1,1,3,2019-06-21
7,6,6,22,2019-06-21
8,1,1,1,2019-06-21
9,2,2,5,2019-06-21
0,192,363,2235,2019-06-22
1,60,60,416,2019-06-22
10,1,1,2,2019-06-22
11,1,1,1,2019-06-22
12,1,1,4,2019-06-22
13,1,1,4,2019-06-22
14,2,2,4,2019-06-22
16,1,1,2,2019-06-22
19,1,1,13,2019-06-22
2,28,28,200,2019-06-22
23,1,1,18,2019-06-22
25,1,1,2,2019-06-22
27,1,1,12,2019-06-22
3,11,11,106,2019-06-22
4,11,11,71,2019-06-22
41,1,1,2,2019-06-22
5,11,11,127,2019-06-22
58,2,2,5,2019-06-22
59,1,1,18,2019-06-22
6,6,6,53,2019-06-22
63,1,1,3,2019-06-22
68,1,1,84,2019-06-22
7,3,3,14,2019-06-22
8,3,3,3,2019-06-22
9,3,3,36,2019-06-22
0,218,392,2761,2019-06-23
1,64,64,399,2019-06-23
10,3,3,13,2019-06-23
13,3,3,14,2019-06-23
14,1,1,8,2019-06-23
15,1,1,12,2019-06-23
16,1,1,1,2019-06-23
2,28,28,190,2019-06-23
21,1,1,0,2019-06-23
24,1,1,6,2019-06-23
26,1,1,1,2019-06-23
28,1,1,14,2019-06-23
3,20,20,130,2019-06-23
34,1,1,1,2019-06-23
4,12,12,83,2019-06-23
49,1,1,6,2019-06-23
5,8,8,38,2019-06-23
6,7,7,128,2019-06-23
62,1,1,12,2019-06-23
63,1,1,22,2019-06-23
7,7,7,67,2019-06-23
9,3,3,16,2019-06-23
0,317,576,3925,2019-06-24
1,69,69,490,2019-06-24
10,6,6,55,2019-06-24
12,2,2,77,2019-06-24
14,2,2,2,2019-06-24
15,1,1,3,2019-06-24
16,2,2,13,2019-06-24
17,3,3,15,2019-06-24
19,1,1,9,2019-06-24
2,66,65,456,2019-06-24
23,1,1,5,2019-06-24
24,3,3,7,2019-06-24
27,2,2,11,2019-06-24
3,48,48,308,2019-06-24
33,2,2,19,2019-06-24
38,1,1,2,2019-06-24
4,25,25,305,2019-06-24
5,4,4,34,2019-06-24
6,8,8,47,2019-06-24
7,4,4,36,2019-06-24
8,5,5,50,2019-06-24
9,1,1,4,2019-06-24
0,326,617,4571,2019-06-25
1,70,70,565,2019-06-25
10,1,1,1,2019-06-25
11,1,1,2,2019-06-25
13,2,2,27,2019-06-25
14,1,1,1,2019-06-25
15,2,2,12,2019-06-25
16,1,1,5,2019-06-25
18,1,1,15,2019-06-25
19,1,1,9,2019-06-25
2,26,26,224,2019-06-25
20,1,1,0,2019-06-25
21,2,2,15,2019-06-25
26,1,1,5,2019-06-25
3,23,23,183,2019-06-25
30,1,1,2,2019-06-25
32,1,1,3,2019-06-25
34,1,1,1,2019-06-25
35,1,1,1,2019-06-25
36,1,1,1,2019-06-25
4,24,24,246,2019-06-25
41,1,1,2,2019-06-25
44,1,1,35,2019-06-25
47,1,1,1,2019-06-25
5,7,7,50,2019-06-25
6,13,13,181,2019-06-25
7,5,5,23,2019-06-25
70,1,1,9,2019-06-25
75,1,1,81,2019-06-25
8,1,1,5,2019-06-25
9,3,3,8,2019-06-25
0,290,506,3484,2019-06-26
1,79,79,452,2019-06-26
10,1,1,2,2019-06-26
11,1,1,0,2019-06-26
12,1,1,2,2019-06-26
13,2,2,6,2019-06-26
14,2,2,71,2019-06-26
15,2,2,6,2019-06-26
16,2,2,18,2019-06-26
19,1,0,1,2019-06-26
2,19,19,163,2019-06-26
20,1,1,17,2019-06-26
27,1,1,1,2019-06-26
28,1,1,3,2019-06-26
3,6,6,31,2019-06-26
30,1,1,6,2019-06-26
32,1,1,43,2019-06-26
4,9,9,57,2019-06-26
5,4,4,14,2019-06-26
54,1,1,5,2019-06-26
6,2,2,16,2019-06-26
7,8,8,37,2019-06-26
70,1,1,7,2019-06-26
74,1,1,22,2019-06-26
8,2,2,8,2019-06-26
9,3,3,14,2019-06-26
0,281,488,3037,2019-06-27
1,88,88,631,2019-06-27
10,2,2,12,2019-06-27
11,1,1,31,2019-06-27
13,1,1,41,2019-06-27
14,4,4,6,2019-06-27
16,1,1,46,2019-06-27
17,1,1,2,2019-06-27
2,27,27,347,2019-06-27
20,1,1,3,2019-06-27
23,2,2,6,2019-06-27
24,4,4,39,2019-06-27
27,1,1,9,2019-06-27
3,13,13,94,2019-06-27
31,2,2,3,2019-06-27
33,1,1,1,2019-06-27
34,1,1,2,2019-06-27
35,1,1,1,2019-06-27
36,1,1,9,2019-06-27
4,2,2,11,2019-06-27
41,2,2,2,2019-06-27
45,1,1,7,2019-06-27
5,10,10,23,2019-06-27
6,6,6,22,2019-06-27
64,1,1,1,2019-06-27
7,2,2,6,2019-06-27
74,1,1,1,2019-06-27
8,2,2,61,2019-06-27
9,2,2,6,2019-06-27
0,241,398,2677,2019-06-28
1,65,65,559,2019-06-28
10,2,2,2,2019-06-28
11,2,2,7,2019-06-28
13,2,2,6,2019-06-28
14,3,3,30,2019-06-28
15,1,1,1,2019-06-28
154,1,1,1,2019-06-28
18,2,2,11,2019-06-28
19,2,2,5,2019-06-28
2,32,32,330,2019-06-28
20,2,2,15,2019-06-28
23,1,1,20,2019-06-28
24,1,1,6,2019-06-28
25,1,1,1,2019-06-28
28,1,1,21,2019-06-28
29,1,1,1,2019-06-28
3,14,14,94,2019-06-28
33,1,1,4,2019-06-28
4,11,11,82,2019-06-28
46,1,1,6,2019-06-28
5,2,2,5,2019-06-28
6,5,5,44,2019-06-28
67,1,1,3,2019-06-28
7,2,1,17,2019-06-28
72,1,1,1,2019-06-28
77,1,1,1,2019-06-28
8,3,3,9,2019-06-28
9,3,3,16,2019-06-28
0,197,363,2566,2019-06-29
1,43,43,333,2019-06-29
10,4,4,19,2019-06-29
11,4,4,6,2019-06-29
12,2,2,6,2019-06-29
13,1,1,2,2019-06-29
14,2,2,21,2019-06-29
15,1,1,9,2019-06-29
17,1,1,50,2019-06-29
18,4,4,37,2019-06-29
2,16,16,139,2019-06-29
20,1,1,3,2019-06-29
21,1,1,11,2019-06-29
25,1,1,9,2019-06-29
28,1,1,40,2019-06-29
3,11,11,90,2019-06-29
32,2,2,8,2019-06-29
33,1,1,31,2019-06-29
4,9,9,91,2019-06-29
48,1,1,1,2019-06-29
5,7,7,201,2019-06-29
6,7,7,74,2019-06-29
7,3,3,16,2019-06-29
71,1,1,10,2019-06-29
8,4,4,19,2019-06-29
9,3,3,5,2019-06-29
0,208,399,2931,2019-06-30
1,55,55,252,2019-06-30
10,2,2,27,2019-06-30
13,3,3,12,2019-06-30
14,2,2,2,2019-06-30
16,1,1,2,2019-06-30
17,1,1,23,2019-06-30
176,1,1,1,2019-06-30
18,1,1,1,2019-06-30
19,2,2,33,2019-06-30
2,26,26,268,2019-06-30
20,2,2,5,2019-06-30
21,1,1,1,2019-06-30
24,1,1,38,2019-06-30
25,1,1,4,2019-06-30
27,1,1,19,2019-06-30
3,12,12,80,2019-06-30
31,1,1,9,2019-06-30
38,1,1,7,2019-06-30
4,12,12,102,2019-06-30
5,10,10,91,2019-06-30
6,7,7,72,2019-06-30
61,1,1,26,2019-06-30
67,1,1,6,2019-06-30
7,6,6,61,2019-06-30
73,1,1,16,2019-06-30
8,2,2,15,2019-06-30
0,311,530,3245,2019-07-01
1,58,58,482,2019-07-01
10,1,1,1,2019-07-01
11,6,6,19,2019-07-01
12,3,3,56,2019-07-01
15,1,1,18,2019-07-01
16,4,4,40,2019-07-01
17,3,3,38,2019-07-01
18,1,1,2,2019-07-01
19,1,1,35,2019-07-01
2,59,59,687,2019-07-01
20,1,1,4,2019-07-01
21,1,1,72,2019-07-01
25,3,3,4,2019-07-01
29,1,1,7,2019-07-01
3,46,46,507,2019-07-01
33,1,1,5,2019-07-01
4,25,25,336,2019-07-01
41,3,3,16,2019-07-01
47,1,1,1,2019-07-01
5,17,17,92,2019-07-01
52,1,1,4,2019-07-01
56,1,1,5,2019-07-01
6,9,9,50,2019-07-01
60,1,1,1,2019-07-01
7,2,2,4,2019-07-01
72,1,1,11,2019-07-01
78,1,1,45,2019-07-01
8,4,4,26,2019-07-01
9,2,2,46,2019-07-01
0,347,618,4745,2019-07-02
1,64,64,419,2019-07-02
10,1,1,8,2019-07-02
11,1,1,1,2019-07-02
12,3,3,38,2019-07-02
13,2,2,8,2019-07-02
14,1,1,1,2019-07-02
16,4,4,33,2019-07-02
17,1,1,1,2019-07-02
2,11,11,58,2019-07-02
21,1,1,4,2019-07-02
22,2,2,28,2019-07-02
23,1,1,2,2019-07-02
25,1,1,0,2019-07-02
27,2,2,26,2019-07-02
3,9,9,51,2019-07-02
32,2,2,4,2019-07-02
35,1,1,8,2019-07-02
4,21,21,371,2019-07-02
40,1,1,12,2019-07-02
46,1,1,20,2019-07-02
48,1,1,2,2019-07-02
5,4,4,31,2019-07-02
6,3,3,41,2019-07-02
7,7,7,44,2019-07-02
70,1,1,1,2019-07-02
71,1,1,1,2019-07-02
73,1,1,5,2019-07-02
8,1,1,19,2019-07-02
0,296,509,3351,2019-07-03
1,81,80,663,2019-07-03
10,3,3,42,2019-07-03
12,3,3,5,2019-07-03
14,3,3,72,2019-07-03
15,2,2,17,2019-07-03
16,3,3,20,2019-07-03
2,17,17,165,2019-07-03
20,2,2,54,2019-07-03
22,1,1,1,2019-07-03
25,1,1,31,2019-07-03
28,1,1,6,2019-07-03
29,1,1,1,2019-07-03
3,14,14,117,2019-07-03
33,1,1,9,2019-07-03
37,2,2,5,2019-07-03
4,11,11,153,2019-07-03
42,1,1,85,2019-07-03
45,1,1,1,2019-07-03
5,14,14,213,2019-07-03
52,1,1,6,2019-07-03
58,1,1,21,2019-07-03
6,9,9,32,2019-07-03
7,10,10,127,2019-07-03
78,1,1,0,2019-07-03
8,7,7,22,2019-07-03
82,1,1,7,2019-07-03
9,4,4,9,2019-07-03
0,307,501,3320,2019-07-04
1,79,79,704,2019-07-04
10,2,2,22,2019-07-04
109,1,1,4,2019-07-04
13,1,1,3,2019-07-04
15,2,2,16,2019-07-04
16,1,1,36,2019-07-04
2,41,41,477,2019-07-04
22,1,1,2,2019-07-04
29,3,3,18,2019-07-04
3,14,14,126,2019-07-04
30,1,1,1,2019-07-04
4,4,4,30,2019-07-04
5,9,9,41,2019-07-04
6,8,8,20,2019-07-04
7,5,5,26,2019-07-04
70,1,1,13,2019-07-04
76,1,1,3,2019-07-04
8,2,2,2,2019-07-04
84,1,1,17,2019-07-04
9,6,6,46,2019-07-04
0,261,458,3010,2019-07-05
1,71,71,468,2019-07-05
10,2,2,15,2019-07-05
11,2,2,45,2019-07-05
12,2,2,74,2019-07-05
14,3,3,6,2019-07-05
15,6,6,35,2019-07-05
18,1,1,1,2019-07-05
19,1,1,0,2019-07-05
2,22,22,107,2019-07-05
20,1,1,18,2019-07-05
22,1,1,19,2019-07-05
24,1,1,12,2019-07-05
27,1,1,16,2019-07-05
28,1,1,1,2019-07-05
3,16,16,136,2019-07-05
33,1,1,2,2019-07-05
34,1,1,2,2019-07-05
37,1,1,2,2019-07-05
4,10,10,37,2019-07-05
44,1,1,5,2019-07-05
46,1,1,2,2019-07-05
5,8,8,33,2019-07-05
6,2,2,21,2019-07-05
7,5,5,9,2019-07-05
79,1,1,21,2019-07-05
8,3,3,7,2019-07-05
9,2,2,50,2019-07-05
0,201,391,2450,2019-07-06
1,45,45,262,2019-07-06
10,3,3,11,2019-07-06
11,1,1,21,2019-07-06
13,2,2,22,2019-07-06
15,1,1,1,2019-07-06
17,1,1,74,2019-07-06
170,1,1,1,2019-07-06
18,1,1,22,2019-07-06
19,4,4,11,2019-07-06
2,23,23,168,2019-07-06
20,1,1,18,2019-07-06
23,1,1,5,2019-07-06
26,1,1,5,2019-07-06
3,11,11,112,2019-07-06
32,1,1,6,2019-07-06
35,1,1,1,2019-07-06
37,1,1,7,2019-07-06
38,1,1,8,2019-07-06
4,6,6,52,2019-07-06
41,2,2,42,2019-07-06
43,1,1,25,2019-07-06
44,1,1,13,2019-07-06
5,8,8,56,2019-07-06
56,1,1,8,2019-07-06
6,8,8,104,2019-07-06
7,2,2,49,2019-07-06
8,2,2,10,2019-07-06
