pagePath,pvnum,vistornum,sessionnum,bounceRate,exitRate,logdate
/ranking/,447,121,37,8.1,8.5,2019-07-16
/samplecode/,127,47,2,50.0,20.5,2019-07-16
/samplecodelist/,505,170,52,28.8,14.9,2019-07-16
/submit/,148,68,13,15.4,6.8,2019-07-16
/,395,195,198,18.2,19.2,2019-07-17
/alltasks,58,29,4,0.0,8.6,2019-07-17
/answercode/,48,19,1,0.0,14.6,2019-07-17
/answercodelist/,83,31,1,0.0,3.6,2019-07-17
/error,62,41,9,44.4,16.1,2019-07-17
/helps,31,21,9,66.7,29.0,2019-07-17
/introduction,80,48,12,25.0,8.8,2019-07-17
/mission/,783,202,77,2.6,19.4,2019-07-17
/participator/,1060,249,179,21.2,13.8,2019-07-17
/post/,4,4,0,0.0,0.0,2019-07-17
/posts,85,40,10,30.0,20.0,2019-07-17
/ranking/,310,108,21,4.8,11.6,2019-07-17
/samplecode/,72,28,4,25.0,19.4,2019-07-17
/samplecodelist/,311,127,33,45.5,19.0,2019-07-17
/submit/,153,66,9,22.2,7.8,2019-07-17
/,338,195,199,16.1,18.3,2019-07-18
/alltasks,40,26,3,0.0,5.0,2019-07-18
/answercode/,47,20,3,33.3,23.4,2019-07-18
/answercodelist/,146,40,4,0.0,5.5,2019-07-18
/error,99,42,12,50.0,13.1,2019-07-18
/helps,20,17,4,50.0,45.0,2019-07-18
/introduction,64,50,7,0.0,3.1,2019-07-18
/mission/,1003,224,97,2.1,20.1,2019-07-18
/participator/,1217,263,196,23.0,12.5,2019-07-18
/post/,4,4,0,0.0,25.0,2019-07-18
/posts,41,30,4,0.0,26.8,2019-07-18
/ranking/,287,104,26,15.4,12.9,2019-07-18
/samplecode/,116,42,7,42.9,18.1,2019-07-18
/samplecodelist/,364,133,38,28.9,15.7,2019-07-18
/submit/,119,53,7,0.0,3.4,2019-07-18
/,347,184,191,17.3,16.4,2019-07-19
/alltasks,32,20,3,0.0,21.9,2019-07-19
/answercode/,58,18,1,0.0,12.1,2019-07-19
/answercodelist/,150,33,2,0.0,3.3,2019-07-19
/error,103,35,11,72.7,14.6,2019-07-19
/helps,22,16,2,0.0,22.7,2019-07-19
/introduction,62,45,6,0.0,12.9,2019-07-19
/mission/,1097,204,85,3.5,15.5,2019-07-19
/participator/,1246,231,158,24.7,12.7,2019-07-19
/post/,6,3,0,0.0,0.0,2019-07-19
/posts,45,28,3,0.0,13.3,2019-07-19
/ranking/,322,93,26,19.2,10.9,2019-07-19
/samplecode/,122,44,10,20.0,22.1,2019-07-19
/samplecodelist/,470,130,41,29.3,8.9,2019-07-19
/submit/,126,62,9,0.0,4.8,2019-07-19
/,257,137,145,14.5,16.0,2019-07-20
/alltasks,33,18,3,66.7,15.2,2019-07-20
/answercode/,32,13,1,0.0,21.9,2019-07-20
/answercodelist/,191,23,4,0.0,2.1,2019-07-20
/error,95,30,7,42.9,4.2,2019-07-20
/helps,25,18,4,25.0,24.0,2019-07-20
/introduction,69,43,10,20.0,4.3,2019-07-20
/mission/,904,175,73,5.5,20.0,2019-07-20
/participator/,1068,203,180,17.8,13.5,2019-07-20
/post/,3,1,0,0.0,0.0,2019-07-20
/posts,44,29,6,33.3,13.6,2019-07-20
/ranking/,260,88,29,6.9,8.8,2019-07-20
/samplecode/,112,39,9,44.4,22.3,2019-07-20
/samplecodelist/,486,127,33,24.2,10.9,2019-07-20
/submit/,124,54,6,16.7,4.8,2019-07-20
